rank,name,anime,favorites,url
750,"Hyakuya, Yuuichirou(百夜 優一郎)",Owari no SeraphOwari no Seraph: Nagoya Kessen-henOwaranai Seraph,2629,https://myanimelist.net/character/83015/Yuuichirou_Hyakuya
751,"Brando, Diego(ディエゴ・ブランド)",,2626,https://myanimelist.net/character/20148/Diego_Brando
752,"Shiba, Miyuki(司波 深雪)",Mahouka Koukou no RettouseiYoku Wakaru Mahouka!Yoku Wakaru Mahouka! - Saiseitte Nani?,2623,https://myanimelist.net/character/55741/Miyuki_Shiba
753,"Tabata, Hidenori(田畑 ヒデノリ)",Danshi Koukousei no NichijouDanshi Koukousei no Nichijou Specials,2619,https://myanimelist.net/character/50691/Hidenori_Tabata
754,"Ijichi, Nijika(伊地知 虹夏)",Bocchi the Rock!Bocchi the Rock! MovieBocchi the Rock! 2nd Season,2613,https://myanimelist.net/character/206277/Nijika_Ijichi
755,"Wistalia, Zen(ゼン・ウィスタリア)","Akagami no Shirayuki-himeAkagami no Shirayuki-hime 2nd SeasonAkagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",2603,https://myanimelist.net/character/18324/Zen_Wistalia
756,"Hoshino, Ruby(星野 瑠美衣)",[Oshi no Ko]Idol[Oshi no Ko] 3rd Season,2593,https://myanimelist.net/character/186921/Ruby_Hoshino
757,"Sento, Isuzu(千斗 いすず)",Amagi Brilliant ParkAmagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki BackstageAmagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,2590,https://myanimelist.net/character/99035/Isuzu_Sento
758,"Tadokoro, Megumi(田所 恵)",Shokugeki no SoumaShokugeki no Souma: Ni no SaraShokugeki no Souma: Ni no Sara OVA,2585,https://myanimelist.net/character/76026/Megumi_Tadokoro
759,"Inverse, Lina(リナ・インバース)",SlayersSlayers NextSlayers: The Motion Picture,2579,https://myanimelist.net/character/1169/Lina_Inverse
760,"Kuwabara, Kazuma(桑原 和真)",Yuu☆Yuu☆HakushoYuu☆Yuu☆Hakusho (Movie)Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,2578,https://myanimelist.net/character/730/Kazuma_Kuwabara
761,Haku(ハク),Sen to Chihiro no Kamikakushi,2573,https://myanimelist.net/character/385/Haku
762,"Nagachika, Hideyoshi(永近 英良)",Tokyo GhoulTokyo Ghoul √ATokyo Ghoul:re 2nd Season,2570,https://myanimelist.net/character/103415/Hideyoshi_Nagachika
763,"Uenoyama, Ritsuka(上ノ山 立夏)",GivenGiven: Uragawa no SonzaiGiven Movie 2: Hiiragi Mix,2568,https://myanimelist.net/character/138312/Ritsuka_Uenoyama
764,Twenty-Fifth Bam(스물다섯번째 밤 / 夜),Kami no TouKami no Tou: Ouji no KikanKami no Tou: Koubou-sen,2566,https://myanimelist.net/character/175670/Twenty-Fifth_Bam
765,"Midorikawa, Hana(緑川 花)",Prison SchoolPrison School: Mad Wax,2566,https://myanimelist.net/character/64847/Hana_Midorikawa
766,"Haibara, Ai(灰原 哀)",Meitantei ConanMeitantei Conan Movie 05: Tengoku e no CountdownMeitantei Conan Movie 06: Baker Street no Bourei,2563,https://myanimelist.net/character/1743/Ai_Haibara
767,"Watanabe, Akari(渡辺 星)","Fuufu Ijou, Koibito Miman.",2549,https://myanimelist.net/character/180599/Akari_Watanabe
768,"Yasuraoka, Hanabi(安楽岡 花火)",Kuzu no Honkai,2549,https://myanimelist.net/character/128503/Hanabi_Yasuraoka
769,Watashi(私),Yojouhan Shinwa TaikeiYojouhan Shinwa Taikei SpecialsYojouhan Time Machine Blues,2547,https://myanimelist.net/character/30579/Watashi
770,"Kita, Ikuyo(喜多 郁代)",Bocchi the Rock!Bocchi the Rock! MovieBocchi the Rock! 2nd Season,2546,https://myanimelist.net/character/206279/Ikuyo_Kita
771,"Tsukiyama, Shuu(月山 習)","Tokyo Ghoul: ""Pinto""Tokyo GhoulTokyo Ghoul √A",2542,https://myanimelist.net/character/104059/Shuu_Tsukiyama
772,"Ouma, Shuu(桜満 集)",Guilty CrownGuilty Crown: Kiseki - ReassortmentGuilty Crown: 4-koma Gekijou,2536,https://myanimelist.net/character/43278/Shuu_Ouma
773,Aladdin(アラジン),Magi: The Labyrinth of MagicMagi: The Kingdom of Magic,2533,https://myanimelist.net/character/41949/Aladdin
