rank,name,anime,favorites,url
1336,"Yoshida, Yuuko(吉田 優子)",Machikado MazokuMachikado Mazoku MiniMachikado Mazoku: 2-choume,1207,https://myanimelist.net/character/170466/Yuuko_Yoshida
1337,"Gardner, Rachel(レイチェル・ガードナー)",Satsuriku no Tenshi,1207,https://myanimelist.net/character/138442/Rachel_Gardner
1338,"Isana, Yashiro(伊佐那 社)",KK: Return of KingsK: Seven Stories Movie 6 - Circle Vision - Nameless Song,1207,https://myanimelist.net/character/64591/Yashiro_Isana
1339,Diavolo(ディアボロ),JoJo no Kimyou na Bouken Part 5: Ougon no KazeJoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps,1207,https://myanimelist.net/character/27155/Diavolo
1340,"Kozuki, Oden(光月おでん)",One Piece,1205,https://myanimelist.net/character/166944/Oden_Kozuki
1341,Yunyun(ゆんゆん),Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!Kono Subarashii Sekai ni Bakuen wo!Kono Subarashii Sekai ni Shukufuku wo! 2,1205,https://myanimelist.net/character/124753/Yunyun
1342,"Liebert, Anna(アンナ・リーベルト)",MonsterMonster Extra: Hottan,1205,https://myanimelist.net/character/720/Anna_Liebert
1343,Kiba(キバ),Wolf's RainWolf's Rain OVA,1205,https://myanimelist.net/character/241/Kiba
1344,"Otonashi, Maria(音無 麻理亜)",,1204,https://myanimelist.net/character/87721/Maria_Otonashi
1345,Aegis(アイギス),Persona 3 the Movie 2: Midsummer Knight's DreamPersona 3 the Movie 3: Falling DownPersona 3 the Movie 4: Winter of Rebirth,1204,https://myanimelist.net/character/6207/Aegis
1346,"Amano, Hina(天野 陽菜)",Tenki no Ko,1202,https://myanimelist.net/character/167172/Hina_Amano
1347,"Fair, Zack(ザック・フェア)",Final Fantasy VII: Last OrderFinal Fantasy VII: Advent ChildrenFinal Fantasy VII: Advent Children Complete,1202,https://myanimelist.net/character/4319/Zack_Fair
1348,"Kirishima, Ayato(霧嶋 絢都)",Tokyo GhoulTokyo Ghoul √ATokyo Ghoul:re,1200,https://myanimelist.net/character/105231/Ayato_Kirishima
1349,"Oyama, Mahiro(緒山 まひろ)",Oniichan wa Oshimai!,1199,https://myanimelist.net/character/161357/Mahiro_Oyama
1350,Doraemon(ドラえもん),DoraemonDoraemon Movie 26: Nobita no Kyouryuu 2006Doraemon Movie 24: Nobita to Fushigi Kaze Tsukai,1199,https://myanimelist.net/character/4304/Doraemon
1351,Kikyou(桔梗),InuYashaInuYasha Movie 4: Guren no HouraijimaInuYasha Movie 2: Kagami no Naka no Mugenjou,1199,https://myanimelist.net/character/1359/Kikyou
1352,Gareki(花礫),KarnevalKarneval (TV)Karneval Specials,1197,https://myanimelist.net/character/16700/Gareki
1353,"Izumi, Kyouka(泉 鏡花)",Bungou Stray DogsBungou Stray Dogs 2nd SeasonBungou Stray Dogs: Dead Apple,1195,https://myanimelist.net/character/132573/Kyouka_Izumi
1354,"Ray, Amuro(アムロ・レイ)",Kidou Senshi GundamKidou Senshi Gundam: Gyakushuu no CharKidou Senshi Gundam I,1193,https://myanimelist.net/character/1335/Amuro_Ray
1355,"Kitano, Ken(北野 堅)",,1191,https://myanimelist.net/character/13824/Ken_Kitano
